fighter_id,fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birth_month,birth_day,birth_year,bouts,wins,losses,draw_nc,winning_pct,strike_throughput,offense_vol,brawler_rating
2875,Yuta Sasaki,70.0,125.0,71.0,Southpaw,2.16,41.0,2.5,50.0,3.03,43.0,41.0,1.2,10.0,7.0,1989.0,9,4,5,0,0.4444444444444444,4.66,5.021538461538461,2.7379547953795385
2876,Paul Sass,72.0,155.0,73.0,Orthodox,0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,8.0,4.0,1988.0,5,3,2,0,0.6,2.4299999999999997,3.1077777777777773,11.984906660377357
2878,Takenori Sato,70.0,170.0,71.88661813798313,Southpaw,0.46,33.0,12.92,9.0,0.0,0.0,0.0,0.0,6.0,8.0,1985.0,2,0,2,0,0.0,13.38,13.38,inf
2879,Takashi Sato,70.0,170.0,73.0,Southpaw,3.16,37.0,4.81,50.0,0.53,50.0,75.0,0.0,6.0,9.0,1990.0,4,2,2,0,0.5,7.97,8.015299145299146,15.037736849056602
2883,Ben Saunders,74.0,170.0,77.0,Orthodox,3.23,50.0,3.58,51.0,0.2,40.0,66.0,1.3,4.0,13.0,1983.0,19,9,10,0,0.47368421052631576,6.8100000000000005,6.938205128205128,35.35000099999999
2884,Chris Saunders,68.0,155.0,69.78491942217224,Unknown,1.48,22.0,2.96,75.0,3.7,100.0,0.0,0.0,3.0,11.0,1986.0,1,0,1,0,0.0,4.4399999999999995,4.7562393162393155,1.2000009999999997
2887,Matt Sayles,67.0,145.0,68.0,Orthodox,5.44,42.0,3.13,61.0,0.0,0.0,81.0,0.4,2.0,21.0,1994.0,3,1,2,0,0.3333333333333333,8.57,8.604188034188034,inf
2890,Eric Schafer,75.0,185.0,76.0,Orthodox,1.89,34.0,3.38,56.0,1.81,36.0,50.0,1.8,9.0,20.0,1977.0,9,3,6,0,0.3333333333333333,5.27,5.578547008547009,4.711603209944752
2891,Brendan Schaub,76.0,245.0,78.0,Orthodox,2.92,37.0,2.22,57.0,2.32,46.0,72.0,0.4,3.0,18.0,1983.0,11,6,5,0,0.5454545454545454,5.140000000000001,5.372478632478633,2.615518241379311
2892,Kerry Schall,74.0,265.0,77.23215751709279,Orthodox,0.94,11.0,4.84,63.0,0.0,0.0,0.0,0.0,8.0,9.0,1971.0,1,0,1,0,0.0,5.779999999999999,5.779999999999999,inf
2896,Fabiano Scherner,75.0,257.0,78.01064994905883,Orthodox,1.31,31.0,3.2,38.0,1.09,33.0,40.0,0.0,6.0,30.0,1972.0,2,0,2,0,0.0,4.51,4.603162393162393,4.137615678899082
2898,Samy Schiavo,68.0,155.0,69.78491942217224,Orthodox,1.68,34.0,2.62,38.0,0.94,50.0,66.0,0.9,12.0,24.0,1975.0,2,0,2,0,0.0,4.3,4.4572649572649565,5.474469085106383
2899,Semmy Schilt,82.0,265.0,84.58466750573223,Orthodox,1.2,50.0,1.31,53.0,0.0,0.0,47.0,1.1,10.0,27.0,1973.0,2,1,1,0,0.5,2.51,2.604017094017094,inf
2903,Matt Schnell,68.0,125.0,70.0,Orthodox,4.2,36.0,4.02,62.0,0.48,33.0,53.0,1.2,1.0,15.0,1990.0,8,5,3,0,0.625,8.219999999999999,8.363589743589742,18.325001
2904,Darrill Schoonover,74.0,220.0,76.44144386113966,Orthodox,1.2,33.0,4.35,38.0,0.0,0.0,50.0,1.1,7.0,18.0,1985.0,1,0,1,0,0.0,5.55,5.6440170940170935,inf
2905,Alex Schoenauer,75.0,185.0,76.74550809953384,Orthodox,1.22,40.0,2.27,42.0,0.0,0.0,22.0,4.9,5.0,5.0,1976.0,1,0,1,0,0.0,3.49,3.9088034188034193,inf
2912,Justin Scoggins,67.0,125.0,66.0,Southpaw,3.56,51.0,2.16,55.0,3.42,63.0,82.0,0.5,5.0,2.0,1992.0,9,4,5,0,0.4444444444444444,5.720000000000001,6.055042735042735,2.1725156198830415
2913,Pat Schilling,68.0,145.0,69.60920527640488,Orthodox,1.87,26.0,8.24,52.0,0.0,0.0,0.0,0.0,8.0,28.0,1988.0,2,0,2,0,0.0,10.11,10.11,inf
2914,Brad Scott,73.0,170.0,76.0,Orthodox,3.52,41.0,4.31,57.0,0.32,15.0,63.0,0.7,6.0,24.0,1989.0,8,3,5,0,0.375,7.83,7.917179487179487,25.168751
2920,Neil Seery,64.0,125.0,64.0,Orthodox,3.56,41.0,3.79,58.0,0.78,27.0,53.0,1.6,8.0,30.0,1979.0,7,3,4,0,0.42857142857142855,7.35,7.553418803418803,11.02307792307692
2923,Stefan Sekulic,72.0,170.0,75.0,Southpaw,1.47,37.0,2.4,57.0,1.0,20.0,33.0,0.0,2.0,12.0,1992.0,1,0,1,0,0.0,3.87,3.9554700854700857,3.8700010000000002
2924,Pete Sell,71.0,170.0,75.0,Orthodox,2.6,42.0,3.65,51.0,0.91,21.0,47.0,0.9,8.0,5.0,1982.0,7,2,5,0,0.2857142857142857,6.25,6.404700854700854,7.768132868131868
2925,Andrei Semenov,72.0,185.0,73.98831685379405,Orthodox,0.78,15.0,2.44,60.0,1.74,80.0,55.0,0.4,6.0,17.0,1977.0,2,1,1,0,0.5,3.2199999999999998,3.4029059829059825,2.2505757126436783
2927,Matthew Semelsberger,73.0,170.0,75.0,Switch,7.93,50.0,5.31,56.0,1.97,100.0,100.0,1.0,11.0,23.0,1992.0,2,2,0,0,1.0,13.239999999999998,13.493846153846151,7.720813182741116
2929,Mackens Semerzier,69.0,145.0,72.0,Orthodox,2.91,45.0,3.48,46.0,2.14,50.0,50.0,2.1,11.0,3.0,1980.0,3,1,1,1,0.3333333333333333,6.390000000000001,6.7523931623931635,5.085982308411215
2934,Adrian Serrano,68.0,170.0,70.04849064082327,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,1963.0,1,0,1,0,0.0,0.0,0.0,
2935,Nick Serra,69.0,170.0,70.9675543894032,Orthodox,0.0,0.0,1.73,43.0,1.0,10.0,0.0,2.0,3.0,27.0,1978.0,1,0,1,0,0.0,1.73,1.9864102564102564,3.730001
2936,Fredy Serrano,63.0,125.0,65.0,Orthodox,1.58,26.0,1.89,61.0,2.84,25.0,84.0,0.0,9.0,22.0,1979.0,4,2,2,0,0.5,3.4699999999999998,3.7127350427350425,1.221831985915493
2938,Matt Serra,66.0,170.0,68.0,Orthodox,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9,6.0,2.0,1974.0,14,7,7,0,0.5,4.62,4.872136752136752,3.153659536585366
2940,Dan Severn,74.0,250.0,76.96858629844175,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,1958.0,13,9,4,0,0.6923076923076923,0.0,0.0,
2941,Rosi Sexton,63.0,135.0,64.83817238773787,Orthodox,3.31,39.0,7.42,41.0,0.75,10.0,80.0,0.0,7.0,16.0,1977.0,2,0,2,0,0.0,10.73,10.794102564102564,14.306667666666666
2943,Edmen Shahbazyan,74.0,185.0,74.0,Orthodox,3.85,51.0,4.31,49.0,4.44,40.0,58.0,0.5,11.0,20.0,1997.0,5,4,1,0,0.8,8.16,8.582222222222223,2.337838837837838
2944,Liliya Shakirova,64.0,125.0,65.0,Orthodox,2.7,30.0,2.58,74.0,0.0,0.0,0.0,0.0,10.0,24.0,1991.0,1,0,1,0,0.0,5.28,5.28,inf
2945,Kamal Shalorus,68.0,155.0,68.0,Orthodox,3.06,32.0,2.99,70.0,2.07,50.0,80.0,0.0,8.0,27.0,1972.0,3,0,3,0,0.0,6.050000000000001,6.226923076923078,2.9227063140096625
2946,Ken Shamrock,73.0,205.0,72.0,Orthodox,1.47,46.0,4.3,39.0,0.94,60.0,44.0,2.5,2.0,11.0,1964.0,13,6,5,2,0.46153846153846156,5.77,6.064017094017093,8.638298872340425
2947,Frank Shamrock,70.0,185.0,72.15018935663419,Orthodox,4.75,53.0,4.66,57.0,0.35,50.0,37.0,1.1,12.0,8.0,1972.0,5,5,0,0,1.0,9.41,9.533931623931624,27.98571528571429
2948,Eric Shelton,66.0,125.0,68.0,Orthodox,2.57,42.0,1.88,63.0,2.83,51.0,46.0,0.2,2.0,2.0,1991.0,6,2,4,0,0.3333333333333333,4.449999999999999,4.708974358974358,1.7724391625441691
2950,Chase Sherman,76.0,250.0,78.0,Orthodox,6.02,45.0,5.55,52.0,0.0,0.0,77.0,0.0,11.0,16.0,1989.0,8,3,5,0,0.375,11.57,11.57,inf
