fighter_id,fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birth_month,birth_day,birth_year,bouts,wins,losses,draw_nc
237,Johnny Bedford,70.0,135.0,71.0,Orthodox,4.53,50.0,1.75,63.0,1.83,62.0,62.0,0.0,1.0,6.0,1983.0,6,2,3,1
238,Mirsad Bektic,68.0,145.0,70.0,Orthodox,2.43,41.0,1.8,57.0,3.98,52.0,92.0,0.4,2.0,16.0,1991.0,10,6,4,0
239,Diana Belbita,67.0,125.0,68.0,Orthodox,5.81,39.0,6.49,52.0,1.69,66.0,64.0,0.0,6.0,26.0,1996.0,2,0,2,0
240,Alan Belcher,74.0,185.0,75.0,Orthodox,2.7,41.0,3.1,59.0,0.44,26.0,55.0,0.9,4.0,24.0,1984.0,15,9,6,0
241,Danilo Belluardo,72.0,155.0,74.0,Southpaw,1.52,61.0,4.79,41.0,3.5,100.0,50.0,0.0,7.0,21.0,1994.0,2,0,2,0
242,Vitor Belfort,72.0,185.0,74.0,Southpaw,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6,4.0,1.0,1977.0,26,15,10,1
243,Joey Beltran,73.0,185.0,75.0,Orthodox,4.92,36.0,5.27,54.0,0.48,18.0,75.0,0.0,12.0,8.0,1981.0,10,3,6,1
244,Marco Beltran,68.0,125.0,69.0,Orthodox,2.07,37.0,1.93,63.0,0.7,50.0,46.0,0.2,5.0,18.0,1986.0,6,3,3,0
246,Joseph Benavidez,64.0,125.0,65.0,Southpaw,3.52,34.0,2.67,61.0,1.41,30.0,62.0,0.6,7.0,31.0,1984.0,21,15,6,0
248,Dave Beneteau,74.0,250.0,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6,3,3,0
249,Gabriel Benitez,68.0,155.0,71.0,Southpaw,4.38,38.0,3.26,70.0,0.17,50.0,56.0,1.2,6.0,15.0,1988.0,10,6,4,0
250,DeAnna Bennett,64.0,125.0,68.0,Orthodox,3.13,58.0,3.27,58.0,0.0,0.0,0.0,1.0,11.0,18.0,1984.0,1,0,0,1
253,Lance Benoist,71.0,170.0,72.0,Southpaw,3.68,51.0,2.7,56.0,1.5,33.0,61.0,0.0,8.0,26.0,1988.0,4,2,2,0
256,Ryan Benoit,65.0,125.0,68.0,Orthodox,2.95,41.0,3.4,60.0,0.33,25.0,70.0,0.5,8.0,25.0,1989.0,8,3,5,0
259,Steve Berger,71.0,170.0,,Orthodox,1.0,27.0,3.26,36.0,0.84,40.0,16.0,1.7,5.0,20.0,1973.0,3,0,2,1
261,Keith Berish,72.0,205.0,,Orthodox,3.58,36.0,4.81,62.0,1.76,40.0,0.0,0.0,11.0,14.0,1985.0,2,0,1,1
262,Dennis Bermudez,66.0,155.0,66.0,Orthodox,4.42,46.0,3.07,59.0,3.89,40.0,82.0,1.1,12.0,13.0,1986.0,17,10,7,0
264,Talita Bernardo,64.0,135.0,68.0,Orthodox,3.12,42.0,4.04,55.0,1.62,22.0,28.0,0.5,3.0,4.0,1987.0,4,1,3,0
265,Manny Bermudez,70.0,145.0,71.0,Orthodox,2.92,61.0,2.68,46.0,3.06,54.0,0.0,3.1,7.0,16.0,1994.0,5,3,2,0
